timestamp,open,high,low,close,volume,spread,real_volume,volatility,atr,momentum_5,momentum_20,volume_ma,volume_ratio
1987-06-02,1.0822,1.0842,1.0776,1.082,1301,0,0,0.0060998151571166,0.006600000000000161,0.0,0.0,1301.0,1.0
1987-06-03,1.0827,1.0838,1.0818,1.0827,401,0,0,0.0018472337674332704,0.0043000000000000815,0.0,0.0,851.0,0.4712103407755582
1987-06-04,1.0759,1.0764,1.0757,1.0757,121,0,0,0.0006507390536394189,0.0031000000000000285,0.0,0.0,607.6666666666666,0.1991223258365332
1987-06-05,1.0784,1.0784,1.0779,1.0783,91,0,0,0.0004636928498562041,0.0024500000000000077,0.0,0.0,478.5,0.19017763845350052
1987-06-08,1.0822,1.0836,1.0791,1.0821,891,0,0,0.004158580537843035,0.002859999999999996,0.0,0.0,561.0,1.588235294117647
1987-06-09,1.0906,1.0921,1.0884,1.0907,731,0,0,0.0033923168607316737,0.0030000000000000027,0.008040665434380756,0.0,589.3333333333334,1.2403846153846152
1987-06-10,1.0904,1.0935,1.0889,1.0903,911,0,0,0.004219022287443765,0.003228571428571422,0.007019488316246436,0.0,635.2857142857143,1.4340004497413985
1987-06-11,1.0902,1.0906,1.0893,1.0901,251,0,0,0.0011925511420971275,0.002987500000000004,0.013386631960583761,0.0,587.25,0.4274159216687952
1987-06-12,1.0806,1.083,1.0791,1.0806,781,0,0,0.0036091060521932393,0.003088888888888894,0.0021329871093387354,0.0,608.7777777777778,1.2828983391129767
1987-06-15,1.0724,1.0743,1.0715,1.0727,531,0,0,0.0026102358534540277,0.0030600000000000184,-0.008686812679050027,0.0,601.0,0.8835274542429284
1987-06-16,1.0715,1.073,1.0704,1.0714,511,0,0,0.0024267313795033937,0.003018181818181829,-0.017695058219492132,0.0,592.8181818181819,0.8619843582272657
1987-06-17,1.0711,1.0711,1.0711,1.0711,1,0,0,0.0,0.0027666666666666764,-0.01760983215628731,0.0,543.5,0.0018399264029438822
1987-06-18,1.0717,1.0717,1.0713,1.0717,81,0,0,0.00037323877950935704,0.0025846153846154074,-0.016879185395835217,0.0,507.9230769230769,0.15947296683325762
1987-06-19,1.0695000000000001,1.07,1.0689,1.0695999999999999,211,0,0,0.001028421839940259,0.002478571428571457,-0.010179529890801509,0.0,486.7142857142857,0.43351922512474317
1987-06-22,1.0636,1.0661,1.0625,1.0635,711,0,0,0.003385049365303289,0.0022642857142857347,-0.008576489232777207,0.0,501.6666666666667,1.4172757475083055
1987-06-23,1.0665,1.067,1.0664,1.0669,81,0,0,0.0005623769800355553,0.0021642857142857297,-0.0042001120029866446,0.0,475.375,0.17039179595056533
1987-06-24,1.0732,1.0737,1.0732,1.0734,81,0,0,0.00046580957704505966,0.002150000000000033,0.002147325179721715,0.0,452.1764705882353,0.179133602185508
1987-06-25,1.0698,1.0699,1.0695000000000001,1.0695999999999999,61,0,0,0.0003739715781600187,0.0021428571428571764,-0.0019595035924234727,0.0,430.44444444444446,0.1417139907072793
1987-06-26,1.0708,1.0713,1.0708,1.0709,91,0,0,0.00046689700252119243,0.0018571428571428905,0.001215407629020282,0.0,412.57894736842104,0.22056384742951907
1987-06-29,1.0689,1.0698,1.0684,1.069,271,0,0,0.0013096351730589972,0.0016928571428571784,0.005171603196991059,0.0,405.5,0.6683107274969173
1987-06-30,1.0702,1.071,1.0685,1.0703,491,0,0,0.0023357937027001278,0.0015428571428571791,0.003186802886868456,-0.010813308687615542,365.0,1.3452054794520547
1987-07-01,1.0703,1.0729,1.0693,1.0704,711,0,0,0.003363228699551614,0.0017071428571428912,-0.0027948574622693734,-0.011360487669714536,380.5,1.8685939553219448
1987-07-02,1.0683,1.0693,1.0674,1.0682,371,0,0,0.0017786931286276097,0.0015642857142857483,-0.0013089005235600304,-0.006972204146137417,393.0,0.9440203562340967
1987-07-03,1.0631,1.0631,1.0631,1.0631,1,0,0,0.0,0.0013642857142857384,-0.007283593239331476,-0.014096262635630241,388.5,0.002574002574002574
1987-07-06,1.0623,1.0631,1.0612,1.0623,381,0,0,0.0017885719664878215,0.001314285714285744,-0.006267539756781959,-0.0182977543665096,363.0,1.0495867768595042
1987-07-07,1.0635,1.0637,1.0631,1.0636,111,0,0,0.0005641218503198156,0.001357142857142898,-0.0062599271232364195,-0.02484642889887223,332.0,0.33433734939759036
1987-07-08,1.0612,1.0618,1.0598,1.0612,401,0,0,0.0018846588767433112,0.0014714285714285996,-0.008594917787743017,-0.026689901861873033,306.5,1.3083197389885808
1987-07-09,1.0642,1.0657,1.0636,1.0641,411,0,0,0.0019734987313222356,0.0015428571428571633,-0.003838232540722686,-0.023851022841941072,314.5,1.3068362480127187
1987-07-10,1.0605,1.0611,1.0602,1.0607,161,0,0,0.0008484962760440284,0.0013500000000000098,-0.0022575486783933396,-0.018415694984267983,283.5,0.5679012345679012
1987-07-13,1.0604,1.0613,1.0594,1.0607,351,0,0,0.0017912699160931582,0.0014428571428571585,-0.0015061658665160849,-0.011186725086230975,274.5,1.278688524590164
1987-07-14,1.059,1.0617,1.0573,1.0587,851,0,0,0.00415604042693887,0.001721428571428588,-0.00460699511094409,-0.01185364943065137,291.5,2.9193825042881647
1987-07-15,1.0656,1.0684,1.0601,1.0656,1661,0,0,0.0077890390390390135,0.0022857142857143037,0.004146249528835355,-0.005134908038464947,374.5,4.435246995994659
1987-07-16,1.065,1.0659,1.0643,1.0649,311,0,0,0.0015024884965724912,0.0023642857142857393,0.0007518090405036482,-0.006345059251656404,386.0,0.805699481865285
1987-07-17,1.0532,1.0555,1.0524,1.0533,611,0,0,0.0029431311117441403,0.0024857142857143133,-0.006976524936362805,-0.0152393418100224,406.0,1.5049261083743843
