time,open,high,low,close,volume,spread
2025-12-01 01:00:00,4225.62,4226.11,4205.48,4216.66,1617,26
2025-12-01 01:15:00,4216.67,4224.34,4213.92,4221.83,2155,26
2025-12-01 01:30:00,4221.63,4225.25,4219.55,4223.66,2002,26
2025-12-01 01:45:00,4223.67,4225.1,4222.07,4222.07,1885,26
2025-12-01 02:00:00,4221.85,4224.39,4218.78,4222.96,2095,23
2025-12-01 02:15:00,4223.04,4232.44,4218.15,4227.09,1855,23
2025-12-01 02:30:00,4227.12,4232.43,4226.38,4231.77,2190,23
2025-12-01 02:45:00,4231.83,4233.59,4225.97,4230.88,2055,23
2025-12-01 03:00:00,4230.85,4233.4,4219.9,4228.23,3124,23
2025-12-01 03:15:00,4228.2,4239.1,4224.59,4238.47,2850,23
2025-12-01 03:30:00,4238.54,4243.79,4234.71,4241.3,2643,23
2025-12-01 03:45:00,4241.28,4256.09,4236.98,4255.58,2654,23
2025-12-01 04:00:00,4255.51,4256.33,4245.41,4248.12,2702,23
2025-12-01 04:15:00,4248.39,4248.81,4240.73,4241.31,2116,23
2025-12-01 04:30:00,4241.1,4241.5,4234.45,4239.68,2811,23
2025-12-01 04:45:00,4239.7,4243.28,4237.71,4242.84,2400,23
2025-12-01 05:00:00,4242.82,4243.84,4232.54,4234.25,2392,23
2025-12-01 05:15:00,4234.17,4237.99,4232.68,4235.44,2283,23
2025-12-01 05:30:00,4235.18,4240.71,4234.89,4238.24,1929,23
2025-12-01 05:45:00,4238.26,4239.86,4234.85,4239.23,1771,23
2025-12-01 06:00:00,4239.18,4239.29,4236.42,4238.77,1648,23
2025-12-01 06:15:00,4238.83,4240.35,4237.54,4239.57,1410,23
2025-12-01 06:30:00,4239.64,4243.09,4239.32,4241.84,1636,23
2025-12-01 06:45:00,4241.85,4246.9,4241.85,4245.55,1610,23
2025-12-01 07:00:00,4245.56,4246.6,4229.36,4232.44,1941,23
2025-12-01 07:15:00,4232.78,4233.52,4215.31,4220.04,2759,23
2025-12-01 07:30:00,4220.02,4227.63,4217.65,4224.11,2425,23
2025-12-01 07:45:00,4223.92,4231.45,4223.45,4229.52,2215,23
2025-12-01 08:00:00,4229.53,4233.83,4228.55,4233.08,2150,23
2025-12-01 08:15:00,4233.12,4233.52,4226.25,4231.52,1929,23
2025-12-01 08:30:00,4231.69,4235.5,4229.97,4235.25,2225,23
2025-12-01 08:45:00,4235.3,4240.45,4235.3,4236.85,2187,23
2025-12-01 09:00:00,4237.01,4239.3,4233.69,4237.1,2086,21
2025-12-01 09:15:00,4237.15,4242.58,4231.62,4240.64,2098,21
2025-12-01 09:30:00,4240.67,4243.29,4240.22,4240.24,1647,21
2025-12-01 09:45:00,4240.21,4246.53,4238.08,4245.36,1930,21
2025-12-01 10:00:00,4246.39,4252.64,4244.65,4250.93,2318,21
2025-12-01 10:15:00,4250.97,4253.48,4249.1,4249.59,1879,21
2025-12-01 10:30:00,4249.53,4249.94,4240.9,4242.35,2095,21
2025-12-01 10:45:00,4242.33,4244.7,4238.43,4244.65,2094,21
2025-12-01 11:00:00,4244.94,4249.72,4244.94,4249.31,1930,21
2025-12-01 11:15:00,4249.35,4251.72,4246.74,4251.48,1832,21
2025-12-01 11:30:00,4251.47,4251.49,4246.64,4247.47,1794,21
2025-12-01 11:45:00,4247.51,4250.7,4243.64,4249.95,1986,21
2025-12-01 12:00:00,4249.97,4262.32,4249.12,4258.77,2125,21
2025-12-01 12:15:00,4258.74,4259.18,4252.42,4253.63,1897,21
2025-12-01 12:30:00,4253.15,4255.0,4251.53,4254.35,1692,21
2025-12-01 12:45:00,4254.33,4257.8,4253.12,4255.59,1946,21
2025-12-01 13:00:00,4255.7,4256.63,4250.55,4251.54,1827,21
2025-12-01 13:15:00,4251.49,4255.58,4248.15,4254.41,1852,21
2025-12-01 13:30:00,4254.3,4258.38,4251.93,4258.27,1724,21
2025-12-01 13:45:00,4258.35,4258.35,4253.28,4254.48,1794,21
2025-12-01 14:00:00,4254.41,4256.5,4247.56,4249.0,2034,21
2025-12-01 14:15:00,4248.99,4254.36,4247.58,4252.62,2039,21
2025-12-01 14:30:00,4252.61,4256.28,4250.45,4252.41,1950,21
2025-12-01 14:45:00,4252.39,4252.73,4244.1,4246.42,2331,23
2025-12-01 15:00:00,4246.33,4256.3,4245.57,4254.06,2634,21
2025-12-01 15:15:00,4254.15,4257.54,4249.98,4256.84,2415,21
2025-12-01 15:30:00,4256.82,4264.46,4256.8,4261.96,2391,21
2025-12-01 15:45:00,4261.94,4263.33,4247.11,4247.38,2616,21
2025-12-01 16:00:00,4247.32,4249.05,4238.67,4247.14,2801,21
2025-12-01 16:15:00,4247.14,4249.22,4242.06,4246.56,2597,21
