time,open,high,low,close,volume,spread
2025-12-01 01:00:00,4225.62,4226.11,4205.48,4222.07,7659,26
2025-12-01 02:00:00,4221.85,4233.59,4218.15,4230.88,8195,23
2025-12-01 03:00:00,4230.85,4256.09,4219.9,4255.58,11271,23
2025-12-01 04:00:00,4255.51,4256.33,4234.45,4242.84,10029,23
2025-12-01 05:00:00,4242.82,4243.84,4232.54,4239.23,8375,23
2025-12-01 06:00:00,4239.18,4246.9,4236.42,4245.55,6304,23
2025-12-01 07:00:00,4245.56,4246.6,4215.31,4229.52,9340,23
2025-12-01 08:00:00,4229.53,4240.45,4226.25,4236.85,8491,23
2025-12-01 09:00:00,4237.01,4246.53,4231.62,4245.36,7761,21
2025-12-01 10:00:00,4246.39,4253.48,4238.43,4244.65,8386,21
2025-12-01 11:00:00,4244.94,4251.72,4243.64,4249.95,7542,21
2025-12-01 12:00:00,4249.97,4262.32,4249.12,4255.59,7660,21
2025-12-01 13:00:00,4255.7,4258.38,4248.15,4254.48,7197,21
2025-12-01 14:00:00,4254.41,4256.5,4244.1,4246.42,8354,21
2025-12-01 15:00:00,4246.33,4264.46,4245.57,4247.38,10056,21
2025-12-01 16:00:00,4247.32,4249.22,4219.42,4239.84,11759,21
2025-12-01 17:00:00,4240.14,4244.94,4219.62,4232.35,12300,21
2025-12-01 18:00:00,4232.38,4242.29,4225.15,4225.89,11994,21
2025-12-01 19:00:00,4226.02,4239.9,4223.07,4232.28,10449,21
2025-12-01 20:00:00,4232.52,4244.6,4232.45,4240.21,9123,21
2025-12-01 21:00:00,4240.27,4243.64,4229.25,4236.9,8781,21
2025-12-01 22:00:00,4236.85,4241.4,4234.38,4237.37,7334,21
2025-12-01 23:00:00,4237.25,4240.45,4232.45,4232.46,3304,24
2025-12-02 01:00:00,4231.41,4235.83,4224.37,4227.55,4490,26
2025-12-02 02:00:00,4227.58,4229.61,4221.46,4226.7,6222,23
2025-12-02 03:00:00,4226.75,4226.89,4198.05,4219.39,10559,23
2025-12-02 04:00:00,4219.42,4224.39,4214.44,4221.45,7559,23
2025-12-02 05:00:00,4221.54,4226.06,4215.7,4216.66,6936,23
2025-12-02 06:00:00,4216.72,4220.58,4213.8,4218.72,4659,23
2025-12-02 07:00:00,4218.7,4225.3,4215.21,4225.04,6058,23
2025-12-02 08:00:00,4224.99,4226.22,4203.32,4212.77,7805,23
2025-12-02 09:00:00,4212.66,4219.23,4209.56,4213.24,5533,21
2025-12-02 10:00:00,4213.34,4217.11,4207.07,4210.2,6422,21
2025-12-02 11:00:00,4209.82,4213.0,4181.1,4191.92,8416,21
2025-12-02 12:00:00,4191.88,4192.23,4182.31,4185.62,6991,21
2025-12-02 13:00:00,4185.66,4205.88,4184.76,4205.2,6489,21
2025-12-02 14:00:00,4205.3,4209.48,4201.0,4208.53,5669,21
2025-12-02 15:00:00,4208.69,4215.22,4202.06,4212.45,9156,21
2025-12-02 16:00:00,4212.39,4230.52,4212.29,4219.12,12047,21
2025-12-02 17:00:00,4218.97,4219.67,4163.52,4169.19,12841,21
2025-12-02 18:00:00,4169.22,4190.16,4166.94,4184.65,11370,21
2025-12-02 19:00:00,4184.71,4196.78,4184.52,4193.77,8495,21
2025-12-02 20:00:00,4193.79,4196.82,4183.11,4190.81,8727,21
2025-12-02 21:00:00,4191.05,4200.44,4191.04,4196.54,7223,21
2025-12-02 22:00:00,4196.51,4212.24,4194.89,4210.16,6923,21
2025-12-02 23:00:00,4209.94,4211.7,4207.67,4207.94,2828,24
2025-12-03 01:00:00,4202.81,4216.06,4202.79,4212.7,4388,26
2025-12-03 02:00:00,4212.7,4212.85,4204.56,4211.75,6725,23
2025-12-03 03:00:00,4212.8,4221.1,4211.5,4214.3,9548,23
2025-12-03 04:00:00,4214.34,4228.7,4214.2,4226.57,7912,23
2025-12-03 05:00:00,4226.58,4227.43,4220.1,4221.05,6665,23
2025-12-03 06:00:00,4221.03,4225.1,4217.19,4222.25,4884,23
2025-12-03 07:00:00,4222.24,4223.9,4203.4,4207.79,8321,23
2025-12-03 08:00:00,4207.7,4211.7,4204.8,4208.11,7893,23
2025-12-03 09:00:00,4208.1,4210.25,4200.17,4206.33,6782,21
2025-12-03 10:00:00,4206.57,4210.1,4203.72,4206.31,7253,21
2025-12-03 11:00:00,4206.36,4207.53,4197.07,4202.12,6730,21
2025-12-03 12:00:00,4202.12,4204.81,4194.55,4200.54,7586,21
2025-12-03 13:00:00,4200.61,4209.12,4196.96,4208.65,6239,21
2025-12-03 14:00:00,4208.64,4214.29,4205.18,4213.4,7295,21
2025-12-03 15:00:00,4213.48,4238.49,4211.24,4237.2,10336,21
2025-12-03 16:00:00,4237.19,4241.52,4205.15,4212.66,12555,21
2025-12-03 17:00:00,4212.62,4229.32,4205.97,4216.25,11547,21
2025-12-03 18:00:00,4216.33,4225.06,4195.74,4200.85,10778,21
2025-12-03 19:00:00,4200.73,4215.24,4200.22,4211.11,9119,21
2025-12-03 20:00:00,4211.05,4211.44,4195.19,4196.88,8730,21
2025-12-03 21:00:00,4196.95,4209.91,4196.89,4207.85,6773,21
2025-12-03 22:00:00,4207.82,4212.64,4203.71,4206.18,6621,21
2025-12-03 23:00:00,4206.19,4209.99,4205.94,4206.04,2881,24
2025-12-04 01:00:00,4206.7,4208.87,4202.5,4207.29,3358,26
2025-12-04 02:00:00,4207.31,4215.6,4204.41,4211.71,5180,23
2025-12-04 03:00:00,4211.62,4216.68,4205.77,4209.18,9175,23
2025-12-04 04:00:00,4209.17,4209.17,4198.86,4200.44,8007,23
2025-12-04 05:00:00,4200.55,4201.52,4187.43,4195.69,7742,23
2025-12-04 06:00:00,4195.66,4198.98,4192.7,4196.85,5792,23
2025-12-04 07:00:00,4196.77,4198.97,4174.99,4181.08,8551,23
2025-12-04 08:00:00,4181.11,4190.19,4178.65,4190.09,9517,23
2025-12-04 09:00:00,4190.08,4194.97,4186.57,4193.65,7196,21
2025-12-04 10:00:00,4193.67,4196.29,4184.82,4184.84,8679,21
2025-12-04 11:00:00,4184.86,4202.18,4183.49,4199.88,7933,21
2025-12-04 12:00:00,4199.93,4202.54,4196.62,4197.31,6082,24
2025-12-04 13:00:00,4197.29,4206.38,4197.16,4198.56,5716,22
2025-12-04 14:00:00,4198.45,4201.74,4188.61,4190.5,6882,22
2025-12-04 15:00:00,4190.51,4198.34,4185.72,4198.23,10018,22
2025-12-04 16:00:00,4198.18,4213.27,4193.6,4201.29,11360,22
2025-12-04 17:00:00,4201.31,4210.14,4191.35,4207.45,11437,22
2025-12-04 18:00:00,4207.42,4219.65,4206.59,4215.67,9766,22
2025-12-04 19:00:00,4215.71,4217.58,4208.79,4216.48,7637,22
2025-12-04 20:00:00,4216.34,4217.35,4207.29,4207.91,7807,22
2025-12-04 21:00:00,4207.94,4210.05,4199.56,4208.94,7744,22
2025-12-04 22:00:00,4208.75,4210.27,4205.41,4209.85,6178,22
2025-12-04 23:00:00,4209.82,4210.06,4207.81,4208.59,1909,25
2025-12-05 01:00:00,4208.9,4209.26,4203.78,4205.91,3145,27
2025-12-05 02:00:00,4205.98,4210.35,4201.27,4201.79,4594,24
2025-12-05 03:00:00,4201.72,4204.32,4194.75,4202.95,8358,24
2025-12-05 04:00:00,4203.05,4208.3,4196.7,4207.21,6777,24
2025-12-05 05:00:00,4207.27,4210.85,4201.77,4209.45,6020,24
2025-12-05 06:00:00,4209.29,4217.29,4207.93,4216.7,5319,24
2025-12-05 07:00:00,4216.68,4221.14,4214.3,4220.27,6720,24
2025-12-05 08:00:00,4220.28,4229.08,4218.5,4224.37,7849,24
2025-12-05 09:00:00,4224.48,4230.65,4222.52,4224.4,5794,22
2025-12-05 10:00:00,4224.54,4227.02,4220.53,4220.56,6493,22
2025-12-05 11:00:00,4220.29,4225.0,4215.92,4223.31,5816,22
2025-12-05 12:00:00,4223.31,4227.49,4222.45,4222.77,4043,22
2025-12-05 13:00:00,4222.72,4225.69,4219.94,4223.53,4139,22
2025-12-05 14:00:00,4223.54,4229.62,4222.92,4228.7,6474,22
2025-12-05 15:00:00,4228.68,4238.84,4221.56,4234.5,9949,22
2025-12-05 16:00:00,4234.48,4245.47,4228.37,4241.89,12619,22
2025-12-05 17:00:00,4242.1,4259.21,4234.13,4243.61,13392,22
2025-12-05 18:00:00,4243.76,4245.68,4198.67,4214.25,14487,23
2025-12-05 19:00:00,4214.07,4219.63,4206.46,4217.56,10245,23
2025-12-05 20:00:00,4217.54,4219.14,4206.66,4208.77,9251,22
2025-12-05 21:00:00,4208.75,4210.74,4202.26,4207.59,7753,22
2025-12-05 22:00:00,4207.7,4207.73,4199.36,4202.04,8798,22
2025-12-05 23:00:00,4202.03,4202.43,4191.95,4196.86,4555,23
2025-12-08 01:00:00,4203.18,4204.94,4195.23,4201.36,2359,27
2025-12-08 02:00:00,4201.7,4211.52,4199.34,4210.61,6333,24
2025-12-08 03:00:00,4210.6,4211.64,4197.44,4201.08,11798,24
2025-12-08 04:00:00,4201.07,4212.38,4198.44,4208.4,9042,24
2025-12-08 05:00:00,4208.43,4213.0,4206.63,4210.0,6257,24
2025-12-08 06:00:00,4210.07,4213.1,4206.91,4208.39,3206,24
2025-12-08 07:00:00,4208.4,4217.04,4204.51,4217.02,6155,24
2025-12-08 08:00:00,4216.96,4218.84,4212.12,4216.94,7401,24
2025-12-08 09:00:00,4217.15,4217.35,4206.3,4206.85,7077,22
2025-12-08 10:00:00,4207.18,4216.51,4203.08,4209.66,7317,22
2025-12-08 11:00:00,4209.2,4212.67,4204.22,4207.96,6724,22
2025-12-08 12:00:00,4207.95,4210.33,4201.08,4203.52,5413,22
2025-12-08 13:00:00,4203.51,4214.13,4199.61,4208.51,6236,22
2025-12-08 14:00:00,4208.56,4215.38,4208.42,4213.73,5822,22
2025-12-08 15:00:00,4213.75,4214.61,4197.85,4201.56,11454,22
2025-12-08 16:00:00,4201.61,4211.47,4195.46,4196.39,12475,22
2025-12-08 17:00:00,4196.52,4196.66,4176.0,4182.91,13257,22
2025-12-08 18:00:00,4182.83,4197.87,4176.84,4191.51,10805,22
2025-12-08 19:00:00,4191.46,4195.52,4185.53,4194.85,8596,23
2025-12-08 20:00:00,4194.84,4195.61,4184.4,4187.09,8134,22
2025-12-08 21:00:00,4187.01,4188.81,4184.1,4186.97,6848,22
2025-12-08 22:00:00,4187.01,4195.43,4184.9,4191.51,7175,22
2025-12-08 23:00:00,4191.53,4193.22,4188.21,4188.88,1786,25
2025-12-09 01:00:00,4191.81,4195.22,4190.67,4194.62,2309,27
2025-12-09 02:00:00,4194.57,4195.55,4189.89,4190.3,3377,24
2025-12-09 03:00:00,4190.29,4197.24,4188.8,4196.19,7792,24
2025-12-09 04:00:00,4196.09,4197.14,4185.92,4189.88,7083,24
2025-12-09 05:00:00,4189.83,4198.78,4189.83,4194.41,6268,24
2025-12-09 06:00:00,4194.4,4195.59,4184.64,4186.85,5608,24
2025-12-09 07:00:00,4186.83,4187.3,4178.06,4179.82,8160,24
2025-12-09 08:00:00,4179.88,4183.97,4169.92,4181.96,8950,24
2025-12-09 09:00:00,4181.98,4185.71,4175.9,4182.4,8169,22
2025-12-09 10:00:00,4182.33,4191.75,4182.33,4191.67,7365,22
2025-12-09 11:00:00,4191.7,4212.73,4190.8,4203.06,10402,22
2025-12-09 12:00:00,4202.88,4208.3,4201.25,4203.88,7366,22
2025-12-09 13:00:00,4203.9,4206.43,4201.11,4203.03,5282,22
2025-12-09 14:00:00,4203.02,4207.48,4198.46,4204.23,5708,22
2025-12-09 15:00:00,4204.26,4208.19,4195.64,4201.35,10813,22
2025-12-09 16:00:00,4201.33,4210.35,4189.49,4204.48,12711,21
2025-12-09 17:00:00,4204.21,4216.28,4189.94,4212.55,14080,21
2025-12-09 18:00:00,4212.53,4221.32,4210.14,4212.26,12923,21
2025-12-09 19:00:00,4212.24,4216.21,4201.55,4203.05,10670,21
2025-12-09 20:00:00,4202.92,4209.66,4201.3,4208.97,8361,21
2025-12-09 21:00:00,4208.96,4214.35,4207.11,4212.51,7177,21
2025-12-09 22:00:00,4212.48,4216.01,4208.99,4212.11,8124,21
2025-12-09 23:00:00,4212.07,4212.87,4208.38,4209.39,4065,24
2025-12-10 01:00:00,4208.78,4212.84,4207.81,4210.81,2491,26
2025-12-10 02:00:00,4210.78,4212.55,4207.0,4208.36,3776,23
2025-12-10 03:00:00,4208.26,4217.95,4206.87,4213.81,9015,23
2025-12-10 04:00:00,4213.67,4218.73,4211.56,4217.08,6278,23
2025-12-10 05:00:00,4217.01,4217.13,4203.59,4206.32,5949,23
2025-12-10 06:00:00,4206.3,4209.54,4205.41,4206.98,3488,23
2025-12-10 07:00:00,4206.8,4214.38,4201.77,4211.28,5979,23
2025-12-10 08:00:00,4211.21,4211.7,4203.08,4207.37,7319,23
2025-12-10 09:00:00,4207.36,4209.19,4203.14,4203.24,4828,21
2025-12-10 10:00:00,4203.2,4206.47,4197.02,4197.92,6998,21
2025-12-10 11:00:00,4197.9,4200.48,4192.55,4194.18,7140,21
2025-12-10 12:00:00,4194.16,4196.29,4187.72,4193.22,6911,21
2025-12-10 13:00:00,4193.27,4197.71,4192.55,4197.19,5317,21
2025-12-10 14:00:00,4197.24,4202.11,4195.3,4196.21,5587,21
2025-12-10 15:00:00,4196.26,4205.02,4193.01,4200.64,10080,21
2025-12-10 16:00:00,4200.69,4206.95,4191.47,4192.49,11759,21
2025-12-10 17:00:00,4192.53,4201.18,4188.83,4193.65,11690,21
2025-12-10 18:00:00,4193.7,4205.0,4192.96,4204.72,9452,21
2025-12-10 19:00:00,4204.67,4204.73,4196.92,4199.74,7712,21
2025-12-10 20:00:00,4199.79,4200.79,4191.98,4194.53,6996,21
2025-12-10 21:00:00,4194.52,4219.76,4181.87,4216.62,15890,26
2025-12-10 22:00:00,4216.56,4238.71,4211.11,4229.88,14274,25
2025-12-10 23:00:00,4229.67,4232.42,4221.1,4228.33,4715,26
2025-12-11 01:00:00,4227.95,4233.99,4223.92,4232.35,3264,32
2025-12-11 02:00:00,4232.32,4245.13,4231.29,4236.99,6872,23
2025-12-11 03:00:00,4236.98,4247.61,4232.94,4238.26,10561,23
2025-12-11 04:00:00,4238.27,4240.7,4220.51,4222.26,9176,23
2025-12-11 05:00:00,4221.77,4224.91,4209.2,4216.64,9070,23
2025-12-11 06:00:00,4216.64,4218.26,4208.42,4213.49,6075,23
2025-12-11 07:00:00,4213.46,4216.26,4206.05,4207.48,6730,23
2025-12-11 08:00:00,4207.5,4215.35,4204.2,4214.43,7712,23
2025-12-11 09:00:00,4214.44,4218.37,4210.56,4215.94,6076,21
2025-12-11 10:00:00,4216.02,4219.57,4212.79,4216.49,6749,21
2025-12-11 11:00:00,4216.54,4221.37,4210.5,4218.43,6016,21
2025-12-11 12:00:00,4218.63,4225.9,4211.63,4216.9,6729,21
2025-12-11 13:00:00,4216.93,4218.94,4209.59,4211.29,5139,21
2025-12-11 14:00:00,4211.23,4220.48,4208.66,4220.47,6672,21
2025-12-11 15:00:00,4220.67,4223.34,4205.17,4220.95,11048,21
2025-12-11 16:00:00,4221.03,4244.37,4217.94,4230.02,13272,21
2025-12-11 17:00:00,4230.04,4261.47,4226.19,4255.94,14174,21
2025-12-11 18:00:00,4256.03,4278.88,4250.02,4273.6,13188,21
2025-12-11 19:00:00,4273.61,4281.75,4272.17,4278.68,11396,21
2025-12-11 20:00:00,4278.67,4285.9,4266.65,4268.14,9557,21
2025-12-11 21:00:00,4268.12,4277.56,4262.99,4273.47,8889,21
2025-12-11 22:00:00,4273.56,4276.32,4264.22,4276.19,9441,21
2025-12-11 23:00:00,4276.16,4282.98,4272.51,4282.98,3064,25
2025-12-12 01:00:00,4282.67,4282.81,4272.64,4276.22,3609,29
2025-12-12 02:00:00,4276.16,4280.1,4268.81,4269.36,5211,23
2025-12-12 03:00:00,4269.46,4276.2,4264.53,4271.01,10527,23
2025-12-12 04:00:00,4270.9,4276.83,4269.35,4270.37,8072,23
2025-12-12 05:00:00,4270.36,4274.62,4268.74,4270.56,5525,23
2025-12-12 06:00:00,4270.55,4271.0,4266.2,4266.38,4848,23
2025-12-12 07:00:00,4266.4,4280.48,4266.07,4278.93,7036,23
2025-12-12 08:00:00,4278.9,4283.22,4276.57,4282.79,6187,23
2025-12-12 09:00:00,4282.73,4290.31,4281.53,4287.07,6146,21
2025-12-12 10:00:00,4287.02,4309.36,4286.94,4308.03,8574,21
2025-12-12 11:00:00,4308.05,4320.27,4306.91,4318.25,9490,21
2025-12-12 12:00:00,4318.4,4330.89,4314.72,4329.82,8611,21
2025-12-12 13:00:00,4329.94,4339.23,4326.89,4336.34,8513,21
2025-12-12 14:00:00,4336.26,4339.09,4324.84,4325.83,8710,21
2025-12-12 15:00:00,4325.76,4346.04,4321.33,4341.0,11955,21
2025-12-12 16:00:00,4340.98,4353.6,4330.86,4347.04,13812,21
2025-12-12 17:00:00,4347.09,4351.45,4283.05,4290.35,16584,21
2025-12-12 18:00:00,4290.27,4296.41,4257.76,4281.89,16628,21
2025-12-12 19:00:00,4281.82,4298.32,4271.03,4294.21,13626,22
2025-12-12 20:00:00,4294.22,4303.52,4290.51,4294.83,11422,21
2025-12-12 21:00:00,4294.88,4299.74,4289.83,4296.5,9462,21
2025-12-12 22:00:00,4296.55,4302.95,4288.5,4299.38,9590,24
2025-12-12 23:00:00,4299.36,4304.12,4298.18,4302.74,3522,24
2025-12-15 01:00:00,4303.29,4308.24,4301.46,4302.34,4158,31
2025-12-15 02:00:00,4302.24,4308.02,4300.08,4307.46,4883,23
2025-12-15 03:00:00,4307.43,4325.61,4305.63,4322.48,10003,23
2025-12-15 04:00:00,4322.43,4329.14,4320.91,4326.42,8081,23
2025-12-15 05:00:00,4326.3,4329.64,4319.34,4327.06,7961,23
2025-12-15 06:00:00,4326.98,4330.05,4322.83,4326.02,5636,23
2025-12-15 07:00:00,4326.11,4344.33,4324.81,4343.59,7792,23
2025-12-15 08:00:00,4343.54,4347.29,4339.67,4343.51,8140,23
