time,open,high,low,close,tick_volume,spread,real_volume
2023-07-25 10:00:00,1.10798,1.10846,1.10699,1.10709,4379,0,0
2023-07-25 11:00:00,1.10707,1.10709,1.10526,1.10648,5464,0,0
2023-07-25 12:00:00,1.10648,1.10676,1.1042,1.10425,2727,0,0
2023-07-25 13:00:00,1.10423,1.10472,1.1041,1.10451,2132,0,0
2023-07-25 14:00:00,1.10451,1.10501,1.1039,1.10495,4368,0,0
2023-07-25 15:00:00,1.10491,1.10533,1.10425,1.10484,3452,0,0
2023-07-25 16:00:00,1.10484,1.10498,1.10254,1.10383,6307,0,0
2023-07-25 17:00:00,1.10383,1.10449,1.10206,1.10446,5541,0,0
2023-07-25 18:00:00,1.10446,1.10535,1.10421,1.10492,3355,0,0
2023-07-25 19:00:00,1.10492,1.10549,1.10411,1.10423,2233,0,0
2023-07-25 20:00:00,1.10422,1.10423,1.10355,1.10394,1808,0,0
2023-07-25 21:00:00,1.10394,1.10457,1.10358,1.10452,1740,0,0
2023-07-25 22:00:00,1.10451,1.10532,1.10434,1.10522,1663,0,0
2023-07-25 23:00:00,1.10522,1.10553,1.10497,1.10497,1078,1,0
2023-07-26 00:00:00,1.105,1.10567,1.1046,1.10564,608,16,0
2023-07-26 01:00:00,1.10567,1.10567,1.10486,1.10512,593,2,0
2023-07-26 02:00:00,1.10513,1.10523,1.10486,1.105,421,0,0
2023-07-26 03:00:00,1.105,1.10531,1.10442,1.10457,1275,0,0
2023-07-26 04:00:00,1.10457,1.10464,1.10378,1.10385,1863,0,0
2023-07-26 05:00:00,1.10385,1.10463,1.10379,1.10458,997,0,0
2023-07-26 06:00:00,1.10458,1.10506,1.1045,1.10495,722,0,0
2023-07-26 07:00:00,1.10496,1.10531,1.10462,1.10482,1161,0,0
2023-07-26 08:00:00,1.10481,1.10629,1.10476,1.10623,1057,0,0
2023-07-26 09:00:00,1.10622,1.10712,1.10568,1.10635,3899,0,0
2023-07-26 10:00:00,1.10634,1.10748,1.10572,1.10696,4668,0,0
2023-07-26 11:00:00,1.10694,1.10777,1.10665,1.10757,3012,0,0
2023-07-26 12:00:00,1.10757,1.10778,1.10688,1.10748,1986,0,0
2023-07-26 13:00:00,1.10748,1.10861,1.10733,1.10822,2404,0,0
2023-07-26 14:00:00,1.10822,1.10839,1.10599,1.10628,2526,0,0
2023-07-26 15:00:00,1.10628,1.10708,1.10574,1.10683,3325,0,0
2023-07-26 16:00:00,1.10683,1.10732,1.10578,1.10651,4287,0,0
2023-07-26 17:00:00,1.10652,1.10716,1.10578,1.10637,4779,0,0
2023-07-26 18:00:00,1.10637,1.10798,1.10618,1.10769,3670,0,0
2023-07-26 19:00:00,1.10769,1.10823,1.10678,1.10719,2020,0,0
2023-07-26 20:00:00,1.10718,1.10718,1.10577,1.10582,1416,0,0
2023-07-26 21:00:00,1.1058,1.11049,1.10562,1.11037,19619,0,0
2023-07-26 22:00:00,1.11037,1.11065,1.10786,1.10965,9745,0,0
2023-07-26 23:00:00,1.10965,1.10967,1.10848,1.10852,863,0,0
2023-07-27 00:00:00,1.10856,1.1087,1.10738,1.10864,422,11,0
2023-07-27 01:00:00,1.10864,1.10891,1.1084,1.10845,562,2,0
2023-07-27 02:00:00,1.10844,1.10848,1.10776,1.1078000000000001,448,0,0
2023-07-27 03:00:00,1.1078000000000001,1.1087,1.10771,1.10861,2271,0,0
2023-07-27 04:00:00,1.10861,1.11001,1.10861,1.1099,1910,0,0
2023-07-27 05:00:00,1.1099,1.11179,1.1099,1.10993,2110,0,0
2023-07-27 06:00:00,1.10993,1.11058,1.10987,1.11002,1569,0,0
2023-07-27 07:00:00,1.11002,1.11079,1.10959,1.10959,1061,0,0
2023-07-27 08:00:00,1.10959,1.10996,1.1088,1.10886,1741,0,0
2023-07-27 09:00:00,1.10886,1.11004,1.10885,1.11002,3379,0,0
2023-07-27 10:00:00,1.11005,1.11342,1.10982,1.11288,4929,0,0
2023-07-27 11:00:00,1.11287,1.11393,1.11243,1.11391,3496,0,0
2023-07-27 12:00:00,1.11392,1.11441,1.1126800000000001,1.114,2985,0,0
2023-07-27 13:00:00,1.11396,1.11497,1.11365,1.11374,2681,0,0
2023-07-27 14:00:00,1.11374,1.11412,1.11313,1.11386,2445,0,0
2023-07-27 15:00:00,1.11386,1.11391,1.10473,1.10593,19198,0,0
2023-07-27 16:00:00,1.1059,1.10651,1.09916,1.10078,18185,0,0
2023-07-27 17:00:00,1.10079,1.10107,1.0984,1.0992,12718,0,0
2023-07-27 18:00:00,1.0992,1.10033,1.09877,1.0997,6379,0,0
2023-07-27 19:00:00,1.09972,1.10012,1.09862,1.0990199999999999,2853,0,0
2023-07-27 20:00:00,1.09905,1.10106,1.09869,1.09988,10836,0,0
2023-07-27 21:00:00,1.09986,1.09989,1.09718,1.09733,5125,0,0
2023-07-27 22:00:00,1.09733,1.09742,1.09659,1.0967,2272,0,0
2023-07-27 23:00:00,1.09671,1.0977,1.09662,1.09765,1167,0,0
2023-07-28 00:00:00,1.09762,1.09777,1.09737,1.09767,331,13,0
2023-07-28 01:00:00,1.09769,1.09836,1.09763,1.09825,743,2,0
2023-07-28 02:00:00,1.09825,1.09832,1.09761,1.09778,1128,1,0
2023-07-28 03:00:00,1.09779,1.09825,1.09773,1.09802,1387,0,0
2023-07-28 04:00:00,1.09802,1.09859,1.09735,1.09822,2098,0,0
2023-07-28 05:00:00,1.09822,1.09856,1.09773,1.09827,1839,0,0
2023-07-28 06:00:00,1.09825,1.09881,1.09714,1.09766,8275,0,0
2023-07-28 07:00:00,1.09766,1.09786,1.09596,1.09729,5171,0,0
2023-07-28 08:00:00,1.09729,1.09865,1.09486,1.09862,5773,0,0
2023-07-28 09:00:00,1.09862,1.09913,1.09682,1.09709,7442,0,0
2023-07-28 10:00:00,1.09718,1.09879,1.09437,1.09514,9244,0,0
2023-07-28 11:00:00,1.09512,1.09689,1.09477,1.0959699999999999,6493,0,0
2023-07-28 12:00:00,1.09599,1.09771,1.09564,1.0973600000000001,3995,0,0
2023-07-28 13:00:00,1.0973600000000001,1.09968,1.09705,1.09936,3431,0,0
2023-07-28 14:00:00,1.09936,1.10183,1.09921,1.10094,5317,0,0
2023-07-28 15:00:00,1.10092,1.10334,1.10033,1.10093,8873,0,0
2023-07-28 16:00:00,1.10094,1.10175,1.09931,1.10172,7876,0,0
2023-07-28 17:00:00,1.10171,1.10477,1.1017,1.10357,9225,0,0
2023-07-28 18:00:00,1.10358,1.104,1.10223,1.10384,5863,0,0
2023-07-28 19:00:00,1.10384,1.10432,1.10252,1.10255,3824,0,0
2023-07-28 20:00:00,1.10255,1.10293,1.10152,1.10213,2620,0,0
2023-07-28 21:00:00,1.10208,1.10297,1.1016,1.10234,2315,0,0
2023-07-28 22:00:00,1.10235,1.10267,1.10192,1.10227,1922,0,0
2023-07-28 23:00:00,1.1023,1.10236,1.10116,1.10141,1756,0,0
2023-07-31 00:00:00,1.1023,1.1023,1.10101,1.1019700000000001,553,12,0
2023-07-31 01:00:00,1.10192,1.10276,1.10164,1.1026799999999999,1038,2,0
2023-07-31 02:00:00,1.10271,1.10279,1.10236,1.10236,844,0,0
2023-07-31 03:00:00,1.10239,1.10277,1.10194,1.10221,1459,0,0
2023-07-31 04:00:00,1.10221,1.10264,1.10141,1.10143,2071,0,0
2023-07-31 05:00:00,1.10142,1.10161,1.10093,1.10153,1827,0,0
2023-07-31 06:00:00,1.10153,1.10179,1.10121,1.10124,1455,0,0
2023-07-31 07:00:00,1.10124,1.10126,1.10059,1.1006,933,0,0
2023-07-31 08:00:00,1.1006,1.10147,1.10054,1.1014599999999999,1332,0,0
2023-07-31 09:00:00,1.10143,1.10176,1.10069,1.1011,2924,0,0
2023-07-31 10:00:00,1.10111,1.1029,1.10109,1.10196,4106,0,0
2023-07-31 11:00:00,1.10199,1.10359,1.10115,1.10339,4971,0,0
2023-07-31 12:00:00,1.1034,1.10376,1.10255,1.10326,3396,0,0
2023-07-31 13:00:00,1.10326,1.10403,1.10292,1.10367,3046,0,0
2023-07-31 14:00:00,1.10367,1.10367,1.10232,1.1027,2910,0,0
2023-07-31 15:00:00,1.10272,1.10386,1.1019,1.10282,4080,0,0
2023-07-31 16:00:00,1.10283,1.10457,1.10148,1.10377,6709,0,0
2023-07-31 17:00:00,1.10377,1.10459,1.10223,1.10252,7478,0,0
2023-07-31 18:00:00,1.10253,1.10297,1.10122,1.10184,5695,0,0
2023-07-31 19:00:00,1.10184,1.10202,1.10039,1.10067,2246,0,0
2023-07-31 20:00:00,1.10065,1.10114,1.10042,1.10048,1526,0,0
2023-07-31 21:00:00,1.10047,1.10081,1.09976,1.09987,1442,0,0
2023-07-31 22:00:00,1.09988,1.10008,1.09938,1.09955,1286,0,0
