time,open,high,low,close,tick_volume,spread,real_volume,returns,volatility
2023-07-25 10:00:00,1.10798,1.10846,1.10699,1.10709,4379,0,0,0.0,0.0
2023-07-25 11:00:00,1.10707,1.10709,1.10526,1.10648,5464,0,0,-0.0005509940474577313,0.00038961162735078416
2023-07-25 12:00:00,1.10648,1.10676,1.1042,1.10425,2727,0,0,-0.002015400187983518,0.0010416267487658815
2023-07-25 13:00:00,1.10423,1.10472,1.1041,1.10451,2132,0,0,0.00023545392800561338,0.0010103712570245472
2023-07-25 14:00:00,1.10451,1.10501,1.1039,1.10495,4368,0,0,0.00039836669654413903,0.0009788512122487992
2023-07-25 15:00:00,1.10491,1.10533,1.10425,1.10484,3452,0,0,-9.955201592837248e-05,0.000883314414977175
2023-07-25 16:00:00,1.10484,1.10498,1.10254,1.10383,6307,0,0,-0.0009141595163100202,0.000835172636525319
2023-07-25 17:00:00,1.10383,1.10449,1.10206,1.10446,5541,0,0,0.0005707400596104417,0.0008489916346960536
2023-07-25 18:00:00,1.10446,1.10535,1.10421,1.10492,3355,0,0,0.0004164931278634043,0.0008290012276223494
2023-07-25 19:00:00,1.10492,1.10549,1.10411,1.10423,2233,0,0,-0.0006244796003329611,0.0007921059933757939
2023-07-25 20:00:00,1.10422,1.10423,1.10355,1.10394,1808,0,0,-0.0002626264455776184,0.0007869252248596954
2023-07-25 21:00:00,1.10394,1.10457,1.10358,1.10452,1740,0,0,0.0005253908726923218,0.0008193869507460634
2023-07-25 22:00:00,1.10451,1.10532,1.10434,1.10522,1663,0,0,0.0006337594611234287,0.000539366450852097
2023-07-25 23:00:00,1.10522,1.10553,1.10497,1.10497,1078,1,0,-0.00022619930873502003,0.0005450642214727042
2023-07-26 00:00:00,1.105,1.10567,1.1046,1.10564,608,16,0,0.0006063513036551615,0.0005638280616635186
2023-07-26 01:00:00,1.10567,1.10567,1.10486,1.10512,593,2,0,-0.0004703158351722081,0.0005873724223222553
2023-07-26 02:00:00,1.10513,1.10523,1.10486,1.105,421,0,0,-0.00010858549297820819,0.0004916173553586841
2023-07-26 03:00:00,1.105,1.10531,1.10442,1.10457,1275,0,0,-0.0003891402714931713,0.000484462307661755
2023-07-26 04:00:00,1.10457,1.10464,1.10378,1.10385,1863,0,0,-0.000651837366577035,0.0005023424015356814
2023-07-26 05:00:00,1.10385,1.10463,1.10379,1.10458,997,0,0,0.000661321737554843,0.0005166154484824995
2023-07-26 06:00:00,1.10458,1.10506,1.1045,1.10495,722,0,0,0.0003349689474734241,0.0005133248880797122
2023-07-26 07:00:00,1.10496,1.10531,1.10462,1.10482,1161,0,0,-0.0001176523824608644,0.0004928090419076404
2023-07-26 08:00:00,1.10481,1.10629,1.10476,1.10623,1057,0,0,0.0012762259915644059,0.0006088728928833104
2023-07-26 09:00:00,1.10622,1.10712,1.10568,1.10635,3899,0,0,0.00010847653742884766,0.0005985799088321624
2023-07-26 10:00:00,1.10634,1.10748,1.10572,1.10696,4668,0,0,0.0005513625886925944,0.0005939007319060716
2023-07-26 11:00:00,1.10694,1.10777,1.10665,1.10757,3012,0,0,0.0005510587555106472,0.0005684812328040756
2023-07-26 12:00:00,1.10757,1.10778,1.10688,1.10748,1986,0,0,-8.125897234478874e-05,0.0005667807281379787
2023-07-26 13:00:00,1.10748,1.10861,1.10733,1.10822,2404,0,0,0.0006681836240833849,0.0005374820646683329
2023-07-26 14:00:00,1.10822,1.10839,1.10599,1.10628,2526,0,0,-0.0017505549439642554,0.0008058229486440445
2023-07-26 15:00:00,1.10628,1.10708,1.10574,1.10683,3325,0,0,0.0004971616588929084,0.0007974671341932477
2023-07-26 16:00:00,1.10683,1.10732,1.10578,1.10651,4287,0,0,-0.000289113956072673,0.0008103765846202249
2023-07-26 17:00:00,1.10652,1.10716,1.10578,1.10637,4779,0,0,-0.00012652393561740638,0.0008106964708717809
2023-07-26 18:00:00,1.10637,1.10798,1.10618,1.10769,3670,0,0,0.0011930909189512562,0.0007980839673254824
2023-07-26 19:00:00,1.10769,1.10823,1.10678,1.10719,2020,0,0,-0.00045138982928449867,0.0008192881896593231
2023-07-26 20:00:00,1.10718,1.10718,1.10577,1.10582,1416,0,0,-0.0012373666669676098,0.0008957198593949889
2023-07-26 21:00:00,1.1058,1.11049,1.10562,1.11037,19619,0,0,0.004114593695176527,0.0016093100582840753
